TIPO,REF,Etapa,ACCT,BUDGET
Above the Line,Detalle,,1642-011,0
Above the Line,Detalle,SHOOT,1642-012,10500
Above the Line,Detalle,SHOOT,1642-013,5250
Above the Line,Detalle,,1642-016,0
Above the Line,Detalle,PREP,1642-017,5000
Above the Line,Detalle,SHOOT,1642-018,6500
Above the Line,Detalle,SHOOT,1642-019,12000
Above the Line,Detalle,SHOOT,1642-020,5250
Above the Line,Detalle,,1642-023,0
Above the Line,Detalle,SHOOT,1642-024,5250
Above the Line,Detalle,SHOOT,1642-025,15750
Above the Line,Detalle,SHOOT,1642-026,5250
Above the Line,Sub cuenta,,1643,10500
Above the Line,Detalle,,1643-002,0
Above the Line,Detalle,ALL SHOW,1643-003,10500
Above the Line,Sub cuenta,,1699,6795.530000000001
Above the Line,Detalle,Fringes,1699-001,6795.530000000001
Below the Line,Cuenta General,,2000,6668300
Below the Line,Sub cuenta,,2001,520000
Below the Line,Detalle,,2001-002,0
Below the Line,Detalle,SOFT,2001-003,60000
Below the Line,Detalle,PREP,2001-004,180000
Below the Line,Detalle,SHOOT,2001-005,140000
Below the Line,Detalle,WRAP,2001-006,60000
Below the Line,Detalle,,2001-009,0
Below the Line,Detalle,2nd Unit,2001-010,20000
Below the Line,Detalle,2nd Unit,2001-011,40000
Below the Line,Detalle,2nd Unit,2001-012,20000
Below the Line,Sub cuenta,,2003,742500
Below the Line,Detalle,,2003-002,0
Below the Line,Detalle,PREP,2003-003,236250
Below the Line,Detalle,SHOOT,2003-004,131250
Below the Line,Detalle,,2003-007,0
Below the Line,Detalle,2nd Unit,2003-008,25000
Below the Line,Detalle,2nd Unit,2003-009,50000
Below the Line,Detalle,,2003-012,0
Below the Line,Detalle,PREP,2003-013,125000
Below the Line,Detalle,SHOOT,2003-014,175000
Below the Line,Detalle,SHOOT,2003-016,
Below the Line,Sub cuenta,,2004,551250
Below the Line,Detalle,,2004-002,0
Below the Line,Detalle,SOFT,2004-003,131250
Below the Line,Detalle,PREP,2004-004,236250
Below the Line,Detalle,SHOOT,2004-005,183750
Below the Line,Sub cuenta,,2005,673500
Below the Line,Detalle,,2005-002,0
Below the Line,Detalle,SOFT,2005-003,31500
Below the Line,Detalle,PREP,2005-004,141750
Below the Line,Detalle,SHOOT,2005-005,110250
Below the Line,Detalle,,2005-008,0
Below the Line,Detalle,PREP,2005-009,105000
Below the Line,Detalle,SHOOT,2005-010,75000
Below the Line,Detalle,,2005-013,0
Below the Line,Detalle,PREP,2005-014,60000
Below the Line,Detalle,SHOOT,2005-015,105000
Below the Line,Detalle,,2005-018,0
Below the Line,Detalle,2nd Unit,2005-019,15000
Below the Line,Detalle,2nd Unit,2005-020,30000
Below the Line,Sub cuenta,,2006,90000
Below the Line,Detalle,,2006-002,0
Below the Line,Detalle,PREP,2006-003,15000
Below the Line,Detalle,SHOOT,2006-004,52500
Below the Line,Detalle,,2006-007,0
Below the Line,Detalle,2nd Unit,2006-008,7500
Below the Line,Detalle,2nd Unit,2006-009,15000
Below the Line,Detalle,2nd Unit,2006-011,
Below the Line,Sub cuenta,,2009,198200
Below the Line,Detalle,,2009-002,0
Below the Line,Detalle,PREP,2009-003,17000
Below the Line,Detalle,SHOOT,2009-004,119000
Below the Line,Detalle,,2009-007,0
Below the Line,Detalle,PREP,2009-008,8400
Below the Line,Detalle,SHOOT,2009-009,2800
Below the Line,Detalle,,2009-012,0
Below the Line,Detalle,2nd Unit,2009-013,17000
Below the Line,Detalle,2nd Unit,2009-014,34000
Below the Line,Detalle,2nd Unit,2009-015,0
Below the Line,Sub cuenta,,2010,726750
Below the Line,Detalle,,2010-002,0
Below the Line,Detalle,,2010-004,0
Below the Line,Detalle,DEVELOPMENT,2010-005,50000
Below the Line,Detalle,DEVELOPMENT,2010-006,50000
Below the Line,Detalle,,2010-009,0
Below the Line,Detalle,SOFT,2010-010,28750
