SUBTOTAL,PARTIDA PRESUPUESTAL
4223.35,3683-096
4319.34,3683-101
5375.18,3683-105
10750.36,3683-109
5375.18,3683-158
5375.18,3683-158
1748.3,3683-171
959.85,3683-154
12937.08,3632-003
646.99,3936-004
646.99,3936-004
334.65,3936-008
334.65,3936-009
96.01,3936-003
96.01,3936-004
64.01,3936-003
64.01,3936-003
961.3,3442-025
32.3,3442-025
32.3,3442-025
64.6,3442-025
1578.08,3442-025
213.57,3442-029
622.92,3442-025
94.92,3442-029
180000.0,4180-003
280000.0,3412-015
228400.0,3412-011
16070.0,3412-131
20000.0,1631-013
3900.0,3412-131
16500.0,3403-033
26680.346,3412-003
250000.0,3412-007
8730.0,2494-035
29.59,2594-003
594.14,2494-047
14230.0,2494-047
27754.0,2394-013
73333.33,2494-003
73333.33,2494-007
73333.33,2494-035
8400.0,2794-003
61400.0,4180-003
238000.0,3112-003
34000.0,3112-007
119000.0,3193-098
21500.0,3193-099
78642.14,3902-026
2359.26,3999-001
14000.0,4180-003
371637.0,2103-004
15000.0,Debtor
1550.0,2794-003
775.0,2794-003
4993.11,2794-003
14383.62,2794-003
5346.55,2794-003
1377.58,2794-003
2239.66,2794-003
114.0,2794-003
2408.62,2794-003
683.61,2794-003
280.17,2794-003
861.21,2794-003
413.09,2285-003
185.35,2385-003
176.74,2385-003
2120.4,2385-003
287.84,2485-003
10518.55,2311-003
858.48,2385-003
170.24,2385-003
1700.0,2494-031
299.51,2494-031
698.75,2494-031
1397.61,2494-031
109.81,2494-003
157.8,2285-003
551.72,2285-003
166.02,2285-003
43.02,2385-003
119.83,2494-035
85.34,2285-003
329.31,2285-003
34.8,2285-003
1773.6,2594-003
424.4,2594-003
64.66,2594-003
387.85,2394-021
502.6,2394-013
525.75,2394-013
654.0,2385-003
1355.0,2394-021
479.0,2494-035
